dir,session,video,color type,color pair,tracked,error,lever,mag,event id,fiber pho,coop thresh,animal id,cohort,visual,vehicle,familiar,useable
PairedTestingSessions,051424_EB031B-001R-033Y_TimeOut_VEH,051424_Cam3_TrNum7_Coop_EB031B-EB033Y,dyed,YB,True,0.0641875629075314,True,True,True,False,1.0,EB031B-EB033Y,EB,transparent,VEH,familiar,control
PairedTestingSessions,051424_EB031B-001R-033Y_TimeOut_VEH,051424_Cam3_TrNum11_Coop_EB031B-EB001R,dyed,RB,True,0.0349256068911511,True,True,True,False,1.0,EB031B-EB001R,EB,transparent,VEH,familiar,control
PairedTestingSessions,042224_KL006_TimeOut,042224_Cam4_TrNum12_Coop_KL006G-KL006R,dyed,RG,True,0.039609659278862,True,True,True,False,1.0,KL006G-KL006R,KL,transparent,,familiar,normal
PairedTestingSessions,042224_KL006_TimeOut,042224_Cam4_TrNum5_Coop_KL006G-KL006R,dyed,RG,True,0.1319755958390027,True,True,True,False,1.0,KL006G-KL006R,KL,transparent,,familiar,normal
PairedTestingSessions,090924_FiberPho_KL007G-KL002_TimeOut,090924_Cam1_TrNum10_Coop_KL007G-KL002Y,dyed,GY,True,0.1215540784253104,True,True,True,True,1.0,KL007G-KL002Y,KL,transparent,,unfamiliar,control
PairedTestingSessions,090924_FiberPho_KL007G-KL002_TimeOut,090924_Cam1_TrNum14_Coop_KL007G-KL002B,dyed,GB,False,,True,True,False,True,1.0,KL007G-KL002B,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,090924_FiberPho_KL007G-KL002_TimeOut,090924_Cam1_TrNum8_Coop_KL007G-KL007Y,dyed,GY,True,0.128582427396754,True,True,True,True,1.0,KL007G-KL007Y,KL,transparent,,familiar,normal
PairedTestingSessions,052024_EB027Y-029R-EB023B_TimeOut_VEH_BAD,052024_Cam2_TrNum7_Coop_EB027Y-EB029R,dyed,RY,True,0.2169660902762182,True,True,True,False,1.0,EB027Y-EB029R,EB,transparent,VEH,familiar,unuseable
PairedTestingSessions,102124_FiberPho_HF008Y_HF001R_TimeOut,102124_Cam2_TrNum4_Coop_HF008Y-HF006G,dyed,GY,True,0.7300686247598134,True,True,True,True,1.0,HF008Y-HF006G,HF,transparent,,familiar,unuseable
PairedTestingSessions,102124_FiberPho_HF008Y_HF001R_TimeOut,102124_Cam2_TrNum7_Coop_HF008Y-HF006G,dyed,GY,True,0.724094138299915,True,True,True,True,1.0,HF008Y-HF006G,HF,transparent,,familiar,unuseable
PairedTestingSessions,102124_FiberPho_HF008Y_HF001R_TimeOut,102124_Cam2_TrNum6_Coop_HF008Y-HF001R,dyed,RY,True,0.789407151475266,True,True,True,True,1.0,HF008Y-HF001R,HF,transparent,,familiar,unuseable
PairedTestingSessions,091324_FiberPho_KL005Y_KL007_TimeOut,091324_Cam2_TrNum8_Coop_KL005Y-KL007G,dyed,GY,True,0.2173530696963076,True,True,True,True,1.0,KL005Y-KL007G,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,091324_FiberPho_KL005Y_KL007_TimeOut,091324_Cam2_TrNum12_Coop_KL005Y-KL006R,dyed,RY,True,0.2329500253127938,True,True,True,True,1.0,KL005Y-KL006R,KL,transparent,,unfamiliar,unuseable
PairedTestingSessions,091324_FiberPho_KL005Y_KL007_TimeOut,091324_Cam2_TrNum10_Coop_KL005Y-KL005B,dyed,YB,True,0.0341160773849232,True,True,True,True,1.0,KL005Y-KL005B,KL,transparent,,familiar,normal
PairedTestingSessions,043024_KL001_TimeOut_Opaque,043024_Cam2_TrNum8_Coop_KL001B-KL001Y,dyed,YB,True,0.3174704809115632,True,True,True,False,1.0,KL001B-KL001Y,KL,opaque,,familiar,unuseable
PairedTestingSessions,043024_KL001_TimeOut_Opaque,043024_Cam2_TrNum6_Coop_KL001B-KL001Y,dyed,YB,True,0.3270449837808262,True,True,True,False,1.0,KL001B-KL001Y,KL,opaque,,familiar,unuseable
PairedTestingSessions,093024_FiberPho_KL004G-KL001_TimeOut,093024_Cam2_TrNum13_Coop_KL004G-KL001Y,dyed,GY,True,0.1840930178612851,True,True,True,True,1.0,KL004G-KL001Y,KL,transparent,,unfamiliar,control
PairedTestingSessions,093024_FiberPho_KL004G-KL001_TimeOut,093024_Cam2_TrNum10_Coop_KL004G-KL005B,dyed,GB,False,,True,True,False,True,1.0,KL004G-KL005B,KL,transparent,,unfamiliar,unuseable
