animal id,first date,last date,first center,last center,first nose,first head,last nose,last head
EB019Y,032724,043024,99.08,99.97,0.006186794682147608,0.0013210899922781359,0.00013546881446314325,0.0
EB002,032624,032624,10.51,10.51,0.09619686800894854,0.28187919463087246,0.09619686800894854,0.28187919463087246
NM015R,102924,020425,7.25,99.86,0.6560570685025056,0.509334539179225,0.001016441783576088,6.701813957644536e-05
HF005R,051624,060424,99.98,99.16,1.8033831467833656e-05,5.410149440350097e-05,0.0038716428322288104,0.00768515288919893
NF023G,121124,031825,98.27,99.65,0.014621750533367759,0.00019704031852586665,0.0017029340825359804,0.0008349015346285351
NM001R,102524,020325,99.43,99.78,0.0029824836794430233,0.0010018559728160001,0.0001267132689911512,0.0
EB020G,032724,040124,99.54,99.68,0.002822281772050858,0.002147594883782808,0.00048310593195526145,0.0
KM012R,011625,021025,99.91,99.24,0.0005244653367261708,0.0005244653367261708,0.00513150759219089,0.0001762472885032538
KM016B,010925,011625,99.95,92.18,0.00018206882201472156,0.001144432595521107,0.0015063460903030185,0.0
EB012G,032524,043024,99.21,99.2,0.0040844679077521534,0.0011577289987959617,0.00011928774372654911,0.0
KL006R,032224,032424,2.93,2.57,0.6491101557805204,0.56658808302131,0.44374472971275813,0.3834795557708524
NF021G,121824,011725,97.89,99.88,0.013235731517895501,0.0008675104927459599,0.0005803949416873788,0.00021167344932127933
NF019G,102824,020425,99.62,99.4,0.0023068263605661873,0.0001291822761917065,0.005127231295100646,0.00017872701682268045
NM034Y,030425,030725,99.67,99.67,0.0017305227175616008,0.004472297393533685,0.002744533429317016,0.0
NM002Y,102524,020325,9.31,99.01,0.6128154308636239,0.41342424443580433,0.005113847954460818,0.0018952492419003033
EB021R,032724,040824,12.54,99.85,0.49561902647088757,0.3447136869570045,0.0,0.0
NM011R,102824,020425,7.7,99.89,0.648046443051972,0.4625875414670107,0.0004970837751855779,0.0
NF007G,121224,011625,98.47,99.66,0.011814523297722755,0.005640586362387471,0.0017357676939510228,3.461644973691498e-05
NM025Y,121324,031725,99.85,98.83,0.0009086883521836197,0.0016743851362571265,0.006733390968943273,6.650262685376072e-05
KM011Y,010925,011625,99.31,99.95,0.0033704361176414145,4.797773832941515e-05,0.00021294324599574114,0.0
HF009R,060524,070324,99.6,99.84,0.002228617077288985,0.0,0.0006157364647930686,0.000714694110920526
NM026R,121724,031825,99.66,99.49,0.0023167781861590173,0.00025131153205792733,0.002682403433476395,0.004079902506225825
NF020B,102824,020425,9.65,99.87,0.6182246009043093,0.5730368183076497,0.0,0.0015103712156810097
KL005G,032224,032424,3.34,4.9,0.8290432350055322,0.6162710590593098,0.7233334410443661,0.6073932852942127
NF023B,120924,011525,99.47,99.86,0.003369536770478932,0.00042528133996336037,0.000796950796950797,0.004352044352044352
NF022B,120924,031725,98.36,99.52,0.010886062699534202,0.003951431412571309,0.0018349385586183993,0.0002241780139488542
NF010Y,102524,020325,99.34,99.09,0.0038081038060889362,0.0016622675344039007,0.004819761828130029,0.009575152880592212
EB017,032824,032824,99.97,99.97,0.0001712836086215836,0.0013193467150581439,0.0001712836086215836,0.0013193467150581439
NM014Y,102924,120924,13.64,98.02,0.5309642234259507,0.37470816761560255,0.01367760512876236,0.001079810931218081
EB006G,032524,040124,99.91,88.94,0.00018819986826009222,0.0009409993413004611,0.0,0.0
NM026G,121124,031825,99.49,99.81,0.0029853385197073142,0.0005712265049098278,0.000795682098478921,2.6522736615964034e-05
EB007R,032524,040724,7.57,99.88,0.43808608800952753,0.41830045736131544,0.00014786075065945895,0.0
KL007B,032224,032824,3.13,96.84,0.3780119645139185,0.35082325486637156,0.019580264278047155,0.00865195987711441
KL001G,032224,032424,6.81,5.14,0.762187450857053,0.7154426796666142,0.7717076456719434,0.7778713371505558
EB008,032724,032724,99.1,99.1,0.00466879304765867,0.00011556418434798687,0.00466879304765867,0.00011556418434798687
NF030B,121324,020525,98.63,99.1,0.009105586051017113,0.0019373587342589602,0.0050028152373568155,0.001444539824070741
EB033Y,040324,043024,88.02,99.95,0.0,0.0,0.0,0.0
NF031R,110424,020325,4.01,99.45,0.7821138370376165,0.5076318336934946,0.005098519617654163,0.001561475551261258
